A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/5/2017 19:00,2017,1,5,19,181,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 20:00,2017,1,5,20,200,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 21:00,2017,1,5,21,203,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 22:00,2017,1,5,22,192,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 23:00,2017,1,5,23,197,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 0:00,2017,1,6,0,190,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 1:00,2017,1,6,1,198,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 2:00,2017,1,6,2,188,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 3:00,2017,1,6,3,173,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 4:00,2017,1,6,4,169,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 5:00,2017,1,6,5,148,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 6:00,2017,1,6,6,134,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 7:00,2017,1,6,7,126,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 8:00,2017,1,6,8,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 9:00,2017,1,6,9,73,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 10:00,2017,1,6,10,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 11:00,2017,1,6,11,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 12:00,2017,1,6,12,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 13:00,2017,1,6,13,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 14:00,2017,1,6,14,41,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 15:00,2017,1,6,15,48,µg/m³,1 Hr,Valid
