A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/6/2017 13:00,2017,1,6,13,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 14:00,2017,1,6,14,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 15:00,2017,1,6,15,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 16:00,2017,1,6,16,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 17:00,2017,1,6,17,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 18:00,2017,1,6,18,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 19:00,2017,1,6,19,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 20:00,2017,1,6,20,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 21:00,2017,1,6,21,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 22:00,2017,1,6,22,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 23:00,2017,1,6,23,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 0:00,2017,1,7,0,4,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 1:00,2017,1,7,1,13,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 2:00,2017,1,7,2,17,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 3:00,2017,1,7,3,11,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 4:00,2017,1,7,4,10,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 5:00,2017,1,7,5,15,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 6:00,2017,1,7,6,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 7:00,2017,1,7,7,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 8:00,2017,1,7,8,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 9:00,2017,1,7,9,17,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 10:00,2017,1,7,10,13,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 11:00,2017,1,7,11,17,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 12:00,2017,1,7,12,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 13:00,2017,1,7,13,12,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 14:00,2017,1,7,14,12,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 15:00,2017,1,7,15,13,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 16:00,2017,1,7,16,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 17:00,2017,1,7,17,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 18:00,2017,1,7,18,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 19:00,2017,1,7,19,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 20:00,2017,1,7,20,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 21:00,2017,1,7,21,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 22:00,2017,1,7,22,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2017 23:00,2017,1,7,23,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 0:00,2017,1,8,0,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2017 1:00,2017,1,8,1,57,µg/m³,1 Hr,Valid
